timestamp,progname,input_size,party_id,num_parties,frontend_wall_sec, setup_wall_sec,online_wall_sec,process_cpu_sec,user_cpu_sec,sys_cpu_sec,mb_sent_party,mb_sent_global,rounds,compile_threads
1760504049,loop_unrolled_linear,2048,0,2,0.777679,0.068580,4.353125,3.154389,2.841692,0.387567,201.362228,436.278888,20812,1
1760504049,loop_unrolled_linear,2048,1,2,0.777679,0.068235,4.353414,3.554214,3.228220,0.400664,234.916660,436.278888,20812,1
1760504055,loop_unrolled_linear,2048,0,2,0.777679,0.078161,4.339580,3.163482,2.892155,0.369452,201.362228,436.278888,20812,1
1760504055,loop_unrolled_linear,2048,1,2,0.777679,0.078228,4.339502,3.571330,3.287632,0.381121,234.916660,436.278888,20812,1
1760504059,loop_unrolled_linear,2048,1,2,0.773847,0.064561,2.539925,3.738223,3.453283,0.358265,234.917044,436.279656,20827,2
1760504059,loop_unrolled_linear,2048,0,2,0.773847,0.064508,2.540003,3.328185,3.042090,0.359420,201.362612,436.279656,20827,2
1760504063,loop_unrolled_linear,2048,1,2,0.773847,0.076794,2.472815,3.704331,3.444230,0.357786,234.917044,436.279656,20827,2
1760504063,loop_unrolled_linear,2048,0,2,0.773847,0.076742,2.472900,3.321993,3.061144,0.358486,201.362612,436.279656,20827,2
1760504067,loop_unrolled_linear,2048,1,2,0.794096,0.064390,1.874487,4.364661,3.848977,0.589109,234.917812,436.281192,20857,4
1760504067,loop_unrolled_linear,2048,0,2,0.794096,0.064357,1.874570,3.864205,3.346080,0.592355,201.363380,436.281192,20857,4
1760504070,loop_unrolled_linear,2048,1,2,0.794096,0.076097,1.880040,4.368959,3.856512,0.608902,234.917812,436.281192,20857,4
1760504070,loop_unrolled_linear,2048,0,2,0.794096,0.075993,1.880203,3.870937,3.385107,0.582807,201.363380,436.281192,20857,4
1760504073,loop_unrolled_linear,2048,1,2,0.788313,0.065192,1.623326,5.061961,4.262772,0.875928,234.919348,436.284264,20917,8
1760504073,loop_unrolled_linear,2048,0,2,0.788313,0.065350,1.623371,4.730900,4.108428,0.699513,201.364916,436.284264,20917,8
1760504076,loop_unrolled_linear,2048,1,2,0.788313,0.077269,1.641089,4.960490,4.135294,0.922803,234.919348,436.284264,20917,8
1760504076,loop_unrolled_linear,2048,0,2,0.788313,0.077174,1.641195,4.878740,4.283023,0.693396,201.364916,436.284264,20917,8
1760504080,loop_unrolled_linear,2048,1,2,0.793134,0.069286,1.677590,5.142803,4.263115,0.962779,234.920116,436.285800,20941,16
1760504080,loop_unrolled_linear,2048,0,2,0.793134,0.069142,1.677751,4.958098,4.249870,0.792434,201.365684,436.285800,20941,16
1760504082,loop_unrolled_linear,2048,0,2,0.793134,0.090206,1.662331,4.888774,4.282185,0.719291,201.365684,436.285800,20941,16
1760504082,loop_unrolled_linear,2048,1,2,0.793134,0.090172,1.662225,5.171177,4.234024,1.048423,234.920116,436.285800,20941,16
1760504086,loop_unrolled_linear,2048,0,2,0.809911,0.070566,1.777451,5.002090,4.209753,0.884397,201.371828,436.298088,21181,32
1760504086,loop_unrolled_linear,2048,1,2,0.809911,0.070624,1.777346,5.207743,4.236990,1.061127,234.926260,436.298088,21181,32
1760504089,loop_unrolled_linear,2048,0,2,0.809911,0.080644,1.895161,5.085213,4.303827,0.896087,201.371828,436.298088,21181,32
1760504089,loop_unrolled_linear,2048,1,2,0.809911,0.081020,1.894755,5.357561,4.290889,1.178139,234.926260,436.298088,21181,32
1760504143,loop_unrolled_linear,4096,1,2,1.606383,0.141298,17.333891,14.283540,13.286096,1.145707,939.599700,1744.981672,58574,1
1760504143,loop_unrolled_linear,4096,0,2,1.606383,0.141293,17.333906,12.667913,11.629858,1.186928,805.381972,1744.981672,58574,1
1760504161,loop_unrolled_linear,4096,0,2,1.606383,0.147076,17.078182,12.679734,11.676347,1.170281,805.381972,1744.981672,58574,1
1760504161,loop_unrolled_linear,4096,1,2,1.606383,0.147139,17.078007,14.204582,13.261653,1.109335,939.599700,1744.981672,58574,1
1760504174,loop_unrolled_linear,4096,1,2,1.622532,0.140235,10.197259,14.674878,13.635878,1.186359,939.599796,1744.981864,58577,2
1760504174,loop_unrolled_linear,4096,0,2,1.622532,0.140204,10.197313,13.114364,12.016346,1.245920,805.382068,1744.981864,58577,2
1760504185,loop_unrolled_linear,4096,1,2,1.622532,0.148402,10.210179,14.567025,13.583167,1.152916,939.599796,1744.981864,58577,2
1760504185,loop_unrolled_linear,4096,0,2,1.622532,0.148352,10.210267,12.986089,11.960979,1.194402,805.382068,1744.981864,58577,2
1760504195,loop_unrolled_linear,4096,1,2,1.632440,0.141220,7.216722,16.683649,15.295350,1.538459,939.600564,1744.983400,58607,4
1760504195,loop_unrolled_linear,4096,0,2,1.632440,0.141104,7.216851,14.656749,13.235207,1.571233,805.382836,1744.983400,58607,4
1760504204,loop_unrolled_linear,4096,0,2,1.632440,0.147111,7.226453,14.591863,13.190144,1.569076,805.382836,1744.983400,58607,4
1760504204,loop_unrolled_linear,4096,1,2,1.632440,0.147082,7.226423,16.647037,15.246310,1.567900,939.600564,1744.983400,58607,4
1760504213,loop_unrolled_linear,4096,1,2,1.656177,0.142380,6.381047,19.653516,17.184266,2.620697,939.602100,1744.986472,58667,8
1760504213,loop_unrolled_linear,4096,0,2,1.656177,0.142317,6.381148,18.107309,16.011594,2.249504,805.384372,1744.986472,58667,8
